region,func,w,lambda_eur,n_open,sum_y_lp,travelcost_multistart,travelcost_lp_relaxation,facilitycost_eur,totalcost_eur,mean_traveltime_min,frac_open,baseline_facilities,baseline_travelcost,on_pareto_frontier
FRJ,LOGISTIC,0.0010219,102.19,1414,1414.000,647716,647607,144497,792213,3.3644,156,1424,694425,True
FRJ,LOGISTIC,0.0010443,104.43,1395,1394.670,649697,649606,145680,795377,3.3969,155,1424,694425,True
FRJ,LOGISTIC,0.0010905,109.05,1346,1346.130,654903,654788,146781,801684,3.4793,145,1424,694425,True
FRJ,LOGISTIC,0.0011892,118.92,1278,1278.330,662624,662499,151980,814604,3.5959,121,1424,694425,True
FRJ,LOGISTIC,0.0013142,131.42,1200,1200.330,672368,672238,157704,830072,3.7505,111,1424,694425,True
FRJ,LOGISTIC,0.0014142,141.42,1136,1136.170,681167,681095,160653,841820,3.893,55,1424,694425,True
FRJ,LOGISTIC,0.0014984,149.84,1094,1094.500,687190,687029,163925,851115,3.9872,92,1424,694425,True
FRJ,LOGISTIC,0.0015422,154.22,1076,1075.750,690052,690006,165941,855993,4.3133,70,1424,694425,True
FRJ,LOGISTIC,0.0015999,159.99,1050,1049.750,694036,693951,167990,862026,4.0919,98,1424,694425,True
FRJ,LOGISTIC,0.0016105,161.05,1046,1045.750,694801,694724,168458,863259,4.3863,100,1424,694425,True
FRJ,LOGISTIC,0.0016818,168.18,1014,1014.500,700081,699866,170535,870616,4.4581,125,1424,694425,True
FRJ,LOGISTIC,0.0017084,170.84,1002,1002.500,701968,701771,171182,873150,4.2101,162,1424,694425,True
FRJ,LOGISTIC,0.002,200.00,906,906.000,719955,719796,181200,901155,4.479,98,1424,694425,True
FRJ,LOGISTIC,0.005,500.00,504,504.170,864050,845417,252000,1116050,6.6868,342,1424,694425,True
FRJ,LOGISTIC,0.1,10000.00,176,176.270,1812112,1639750,1760000,3572112,25.8079,277,1424,694425,True
FRJ,LOGISTIC,0.2,20000.00,96,96.000,2858687,2851513,1920000,4778687,50.6367,40,1424,694425,True
FRJ,LOGISTIC,0.5,50000.00,6,6.000,5573084,5573084,300000,5873084,112.3931,0,1424,694425,True
FRK,LINEAR,0.0001,10.00,16628,16628.000,2408902,2408902,166280,2575182,0.7706,0,1685,29387004,True
FRK,LINEAR,0.0002,20.00,16628,16628.000,2408902,2408902,332560,2741462,0.7706,0,1685,29387004,True
FRK,LINEAR,0.0005,50.00,16620,16620.000,2409212,2409212,831000,3240212,0.7714,0,1685,29387004,True
FRK,LINEAR,0.001,100.00,16585,16585.000,2412356,2412356,1658500,4070856,0.7721,0,1685,29387004,True
FRK,LINEAR,0.002,200.00,15419,15419.000,2603115,2603115,3083800,5686915,0.8246,0,1685,29387004,True
FRK,LINEAR,0.005,500.00,10752,10752.000,4152576,4152519,5376000,9528576,1.167,12,1685,29387004,True
FRK,LINEAR,0.01,1000.00,7523,7523.000,6449092,6448998,7523000,13972092,1.5673,8,1685,29387004,True
FRK,LINEAR,0.02,2000.00,5065,5065.000,9934028,9933766,10130000,20064028,2.0751,38,1685,29387004,True
FRK,LINEAR,0.05,5000.00,2814,2814.500,17069365,17065328,14070000,31139365,3.0158,76,1685,29387004,True
FRK,LINEAR,0.1,10000.00,1706,1705.670,24882859,24884474,17060000,41942859,3.9532,67,1685,29387004,True
FRK,LINEAR,0.10109,10109.00,1691,1691.170,25031341,25027808,17094319,42125660,3.0853,63,1685,29387004,True
FRK,LINEAR,0.10164,10164.00,1684,1683.670,25103882,25103828,17116176,42220058,3.0943,80,1685,29387004,True
FRK,LINEAR,0.10219,10219.00,1679,1678.600,25154116,25155420,17157701,42311817,3.1005,77,1685,29387004,True
FRK,LINEAR,0.10443,10443.00,1651,1651.000,25443838,25441020,17241393,42685231,3.1362,60,1685,29387004,True
FRK,LINEAR,0.10905,10905.00,1597,1597.000,26018204,26014692,17415285,43433489,3.207,74,1685,29387004,True
FRK,LINEAR,0.11892,11892.00,1484,1483.580,27306855,27306714,17647728,44954583,3.3658,109,1685,29387004,True
FRK,LINEAR,0.13213,13213.00,1383,1383.330,28570487,28560369,18273579,46844066,3.5216,88,1685,29387004,True
FRK,LINEAR,0.13653,13653.00,1353,1353.300,28973974,28964552,18472509,47446483,3.5713,104,1685,29387004,True
FRK,LINEAR,0.13879,13879.00,1336,1335.700,29209136,29206715,18542344,47751480,3.6003,94,1685,29387004,True
FRK,LINEAR,0.13993,13993.00,1326,1326.000,29348250,29341951,18554718,47902968,3.6174,88,1685,29387004,True
FRK,LINEAR,0.14109,14109.00,1318,1318.500,29460748,29447459,18595662,48056410,3.6313,99,1685,29387004,True
FRK,LINEAR,0.14142,14142.00,1318,1317.750,29460938,29458055,18639156,48100094,3.6313,110,1685,29387004,False
FRK,LINEAR,0.15065,15065.00,1258,1257.640,30340149,30340824,18951770,49291919,3.7397,88,1685,29387004,True
FRK,LINEAR,0.17177,17177.00,1132,1131.500,32361131,32367112,19444364,51805495,3.9888,67,1685,29387004,True
FRK,LINEAR,0.2,20000.00,1005,1004.830,34727050,34719398,20100000,54827050,4.2797,79,1685,29387004,True
FRK,LINEAR,0.5,50000.00,522,521.760,56074733,49748626,26100000,82174733,8.064,394,1685,29387004,True
FRK,LOGISTIC,0.0001,10.00,7085,7085.000,675885,675883,70850,746735,1.6408,32,1685,911695,True
FRK,LOGISTIC,0.0002,20.00,4830,4830.000,707768,707765,96600,804368,2.1528,44,1685,911695,True
FRK,LOGISTIC,0.0005,50.00,2799,2798.750,772295,772284,139950,912245,3.0418,99,1685,911695,True
FRK,LOGISTIC,0.001,100.00,1765,1765.250,844818,844677,176500,1021318,3.9086,138,1685,911695,True
FRK,LOGISTIC,0.0010443,104.43,1722,1722.000,849149,849023,179828,1028977,3.0794,140,1685,911695,True
FRK,LOGISTIC,0.0010671,106.71,1694,1694.250,852108,851955,180767,1032875,3.114,179,1685,911695,True
FRK,LOGISTIC,0.0010729,107.29,1684,1683.750,853184,853078,180676,1033860,3.1253,184,1685,911695,True
FRK,LOGISTIC,0.0010788,107.88,1680,1680.250,853616,853454,181238,1034854,3.1305,183,1685,911695,True
FRK,LOGISTIC,0.0010905,109.05,1665,1664.580,855220,855154,181568,1036788,3.1496,171,1685,911695,True
FRK,LOGISTIC,0.0011892,118.92,1567,1567.000,866339,866231,186348,1052687,3.2814,179,1685,911695,True
FRK,LOGISTIC,0.0013948,139.48,1409,1409.420,886808,886584,196527,1083335,3.5162,182,1685,911695,True
FRK,LOGISTIC,0.0014142,141.42,1395,1395.170,888812,888660,197281,1086093,3.5419,132,1685,911695,True
FRK,LOGISTIC,0.0015903,159.03,1279,1279.250,906053,905972,203399,1109452,3.7408,73,1685,911695,True
FRK,LOGISTIC,0.0016818,168.18,1238,1238.170,912880,912792,208207,1121087,4.6313,92,1685,911695,True
FRK,LOGISTIC,0.0016981,169.81,1234,1233.670,913433,913456,209546,1122979,3.8251,81,1685,911695,True
FRK,LOGISTIC,0.0018133,181.33,1180,1179.500,923041,922994,213969,1137010,3.9364,170,1685,911695,True
FRK,LOGISTIC,0.002,200.00,1096,1096.170,939288,938901,219200,1158488,4.1145,218,1685,911695,True
FRK,LOGISTIC,0.005,500.00,611,610.890,1122659,1088238,305500,1428159,6.974,326,1685,911695,True
FRK,LOGISTIC,0.1,10000.00,220,219.890,2236743,2012023,2200000,4436743,24.5918,511,1685,911695,True
FRK,LOGISTIC,0.2,20000.00,133,133.500,3273638,3259085,2660000,5933638,42.6763,27,1685,911695,True
FRK,LOGISTIC,0.5,50000.00,15,15.000,6968558,6968558,750000,7718558,102.5982,0,1685,911695,True
FRL,LINEAR,0.0001,10.00,6372,6372.000,709077,709077,63720,772797,0.9852,0,1024,13129909,True
FRL,LINEAR,0.0002,20.00,6371,6371.000,709094,709094,127420,836514,0.9852,0,1024,13129909,True
FRL,LINEAR,0.0005,50.00,6370,6370.000,709115,709115,318500,1027615,0.9852,0,1024,13129909,True
FRL,LINEAR,0.001,100.00,6362,6362.000,709844,709844,636200,1346044,0.9855,0,1024,13129909,True
FRL,LINEAR,0.002,200.00,6066,6066.500,758256,758155,1213200,1971456,1.0142,3,1024,13129909,True
FRL,LINEAR,0.005,500.00,4716,4715.500,1214185,1214409,2358000,3572185,1.2572,3,1024,13129909,True
FRL,LINEAR,0.01,1000.00,3586,3586.000,2025592,2025592,3586000,5611592,1.6885,0,1024,13129909,True
FRL,LINEAR,0.02,2000.00,2584,2584.500,3457102,3456020,5168000,8625102,2.4066,3,1024,13129909,True
